ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.ssl.ciphers,keyword,custom,,,Agent module configuration: agent.agent.ssl.ciphers.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.ssl.key,keyword,custom,,,Agent module configuration: agent.agent.ssl.key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.ssl.verification_mode,keyword,custom,,,Agent module configuration: agent.agent.ssl.verification_mode.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.stats_report.enabled,keyword,custom,,,Agent module configuration: agent.agent.stats_report.enabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.stats_report.interval,long,custom,,,Agent module configuration: agent.agent.stats_report.interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.time-reconnect,long,custom,,,Agent module configuration: agent.agent.time-reconnect.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.debug,long,custom,,,Agent module configuration: agent.internal.agent.debug.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.normal_level,long,custom,,,Agent module configuration: agent.internal.agent.normal_level.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.recv_timeout,long,custom,,,Agent module configuration: agent.internal.agent.recv_timeout.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.remote_conf,long,custom,,,Agent module configuration: agent.internal.agent.remote_conf.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.state_interval,long,custom,,,Agent module configuration: agent.internal.agent.state_interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.tolerance,long,custom,,,Agent module configuration: agent.internal.agent.tolerance.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.agent.warn_level,long,custom,,,Agent module configuration: agent.internal.agent.warn_level.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.monitord.compress,long,custom,,,Agent module configuration: agent.internal.monitord.compress.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.monitord.daily_rotations,long,custom,,,Agent module configuration: agent.internal.monitord.daily_rotations.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.monitord.day_wait,long,custom,,,Agent module configuration: agent.internal.monitord.day_wait.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.monitord.keep_log_days,long,custom,,,Agent module configuration: agent.internal.monitord.keep_log_days.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.monitord.rotate_log,long,custom,,,Agent module configuration: agent.internal.monitord.rotate_log.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.internal.monitord.size_rotate,long,custom,,,Agent module configuration: agent.internal.monitord.size_rotate.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.package_uninstallation.package_uninstallation,keyword,custom,,,Agent module configuration: agent.package_uninstallation.package_uninstallation.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.access_key,keyword,custom,,,Agent module configuration: aws-s3.buckets.access_key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.aws_account_alias,keyword,custom,,,Agent module configuration: aws-s3.buckets.aws_account_alias.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.aws_account_id,keyword,custom,,,Agent module configuration: aws-s3.buckets.aws_account_id.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.aws_profile,keyword,custom,,,Agent module configuration: aws-s3.buckets.aws_profile.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.discard_field,keyword,custom,,,Agent module configuration: aws-s3.buckets.discard_field.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.discard_regex,keyword,custom,,,Agent module configuration: aws-s3.buckets.discard_regex.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.iam_role_arn,keyword,custom,,,Agent module configuration: aws-s3.buckets.iam_role_arn.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.iam_role_duration,keyword,custom,,,Agent module configuration: aws-s3.buckets.iam_role_duration.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.name,keyword,custom,,,Agent module configuration: aws-s3.buckets.name.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.only_logs_after,keyword,custom,,,Agent module configuration: aws-s3.buckets.only_logs_after.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.path,keyword,custom,,,Agent module configuration: aws-s3.buckets.path.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.path_suffix,keyword,custom,,,Agent module configuration: aws-s3.buckets.path_suffix.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.regions,keyword,custom,,,Agent module configuration: aws-s3.buckets.regions.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.remove_from_bucket,keyword,custom,,,Agent module configuration: aws-s3.buckets.remove_from_bucket.
